customer_id,offer_id,event,amount,became_member_on,Reward,time
a9012cc8c7d94d2aae450ea4c314d394,2906b810c7d4411798c6938adc9daaa5,offer completed,,28/03/2016,2,582
0d9b73ed8868407e9fc6537bf08f1610,fafdcd668e3743c1bb461111dcafc2a4,offer completed,,23/02/2014,2,582
104cbbfdad2848a697b4632d871acc3c,fafdcd668e3743c1bb461111dcafc2a4,offer completed,,08/06/2014,2,582
d9d1c595b0ce4da695e96312369e5c4c,fafdcd668e3743c1bb461111dcafc2a4,offer completed,,08/04/2016,2,582
408574b846484c9f97f458b678a01a0e,2906b810c7d4411798c6938adc9daaa5,offer completed,,07/12/2015,2,588
5a2e7b544b5b43e98e6eec69c3e6a21c,2906b810c7d4411798c6938adc9daaa5,offer completed,,25/12/2017,2,588
2afcff4b5f4c42fc98b0280a0c8febc9,fafdcd668e3743c1bb461111dcafc2a4,offer completed,,05/06/2016,2,588
48eb3f18d6b5411d90b7dee36741979e,fafdcd668e3743c1bb461111dcafc2a4,offer completed,,31/08/2016,2,588
6014a8e264474a45a265cbd96aded6f8,fafdcd668e3743c1bb461111dcafc2a4,offer completed,,22/09/2016,2,588
86d1c0779345461fb1f5811627c93b3e,fafdcd668e3743c1bb461111dcafc2a4,offer completed,,11/03/2016,2,588
cb351d3c1d3647a8bb6da47ae25d33c0,fafdcd668e3743c1bb461111dcafc2a4,offer completed,,18/11/2016,2,588
e0b8743326fc4ce99677bcc4d3dba3a5,fafdcd668e3743c1bb461111dcafc2a4,offer completed,,20/05/2017,2,588
c02340ed0fb4448b9a651f643fddac95,2906b810c7d4411798c6938adc9daaa5,offer completed,,14/04/2018,2,594
2c4fbcf0ef95498f923f7c7424dc4839,2906b810c7d4411798c6938adc9daaa5,offer completed,,31/03/2017,2,630
9b2ec72a4ee04bb1bbf360642f22e7d3,fafdcd668e3743c1bb461111dcafc2a4,offer completed,,15/07/2016,2,630
9b2ec72a4ee04bb1bbf360642f22e7d3,fafdcd668e3743c1bb461111dcafc2a4,offer completed,,15/07/2016,2,630
b9f6572096dc47a5bb427f9957909735,fafdcd668e3743c1bb461111dcafc2a4,offer completed,,19/07/2017,2,630
